ReqComments,ID,Title,HP Surgeon,Date of HP Surgery,PI,LabTracks Requestor,Procedure,Surgery Status,Project ID,IACUC Protocol,DateRangeStart,DateRangeEnd,Light Cycle,LIMs Required,Lims Project Code,LIMStaskflow,LabTracks Group,MID,Pedigree Name,Cage,Sex,Date of Birth,HP Work Station,HP Weight before,HP Weight after,HP Iso Duration,HP Recovery,HP Iso Level,Headpost Type,HP Location,Bregma to Lambda,HP Perferations,HP M/L,HP A/P,HP Diameter,HP Durotomy,Previously Injected,1st Round Inj Surgeon,Date 1st Round Injections,1st Round Inj Workstation,1st Round Inj Weight Before,1st Round Inj Weight After,1st Round Inj Iso Duration,1st Round Inj Iso Level,1st Inj Recovery,2nd Round Inj Surgeon,Date 2nd Round Injections,2nd Round Workstation,2nd Round Inj Weight Before,2nd Round Inj Weight After,2nd Round Inj Iso Duration,2nd Round Inj Iso Level,2nd Inj REcovery,Inj1Round,Inj1VirusStrain,Inj1StorageLocation,Inj 1 Hemisphere,Inj 1 A/P,Inj 1 M/L,Inj 1 D/V,Inj1Type,Inj1Vol,Inj1LenghtofTime,Inj1Current,Inj1AlternatingTime,Inj2Round,Inj2VirusStrain,Inj2StorageLocation,Inj 2 Hemisphere,Inj 2 A/P,Inj 2 M/L,Inj 2 D/V,Inj2Type,Inj2Vol,Inj2LenghtofTime,Inj2Current,Inj2AlternatingTime,Durotomy,Edema (Swelling),Sinus Bleed,Window Clarity,Contusion,Hematoma,Laceration,During 1st Injection,After 1st Injection,1stRoundIontoIssue,During 2nd Injection,After 2nd Injection,2nd Round Ionto Issue,Touch Up Surgeon,Touch Up Status,Touch Up  Completed,Touch Up Weight After,Issue,Exudate Severity,Eye Affected,Eye Issue,Scabbing,CAM  Health Check Surgeon,CAM Go-NoGo Comments,CAM Go-NoGO ISI,CAM Health Check (7d post op),CAM Health Comments,Wellness Comments,inj1volperdepth,Inj1Volperpress,Inj1VirusStrain_rt,Inj2VirusStrain_rt,1stRoundInjComments,1stRoundInjectionComments,2ndRoundInjComments,2ndRoungInjectionComments,HP Surgeon Comments,HPSurgeonComments,Item Type,Path
,2116,509806HP+C Neuropixel style,Jackie Swapp,2/6/2020,Josh Siegle,Severine,HP+C Neuropixel style,Ready for Feedback,102-02-004-10: BTV Observatory Visual Behavior,1805,2/3/2020,2/7/2020,Reverse (9pm to 9am),Yes,NeuropixelVisualBehaviorDevelopment,Brain Observatory Visual Behavior Neuropixel,Sst-IRES-Cre;Ai32,509806,Sst-IRES-Cre;Ai32-509806,02-004-138-1805,Male,12/14/2019,SWS 1,24.9,27.2,2,12,1.5,Neuropixel-style headframe (0160-100-10/0160-200-36),Left,4.593,Select if applicable...,2.8/,1.3,5mm,Yes,Select...,,,Select...,,,,Select...,,,,Select...,,,,Select...,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Torn & Complete,Mild,Moderate,Central,Mild,Mild,Mild,Select...,Select...,Select...,Select...,Select...,Select...,,Select...,,,Select...,Select...,Select...,Select...,Select...,,,,2/13/2020,,,,,,,,,,,,"​Torn dura, dura attached at 2, some damage/bruising there",Item,BrainScience/IVS/Neurosurgery-Behavior/Lists/SWR 2018Present
,2117,509808HP+C Neuropixel style,Chelsea Nayan,2/6/2020,Josh Siegle,Severine,HP+C Neuropixel style,Ready for Feedback,102-02-004-10: BTV Observatory Visual Behavior,1805,2/3/2020,2/7/2020,Reverse (9pm to 9am),Yes,NeuropixelVisualBehaviorDevelopment,Brain Observatory Visual Behavior Neuropixel,Sst-IRES-Cre;Ai32,509808,Sst-IRES-Cre;Ai32-509808,02-004-139-1805,Male,12/14/2019,SWS 4,24.4,27.1,2,5,2,Neuropixel-style headframe (0160-100-10/0160-200-36),Left,4.592,Select if applicable...,2.8/,1.3,5mm,Yes,Select...,,,Select...,,,,Select...,,,,Select...,,,,Select...,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Complete,None,None,Central,None,None,None,Select...,Select...,Select...,Select...,Select...,Select...,,Select...,,,Select...,Select...,Select...,Select...,Select...,,,,2/13/2020,,,,,,,,,,,,"​Dura from 3- 9 o'clock due to sinus and majoy vessels connected to the dura. Recovery was swift. Good surgery? 
",Item,BrainScience/IVS/Neurosurgery-Behavior/Lists/SWR 2018Present
,2118,509811HP+C Neuropixel style,Emily Gelfand,2/3/2020,Josh Siegle,Severine,HP+C Neuropixel style,Ready for Feedback,102-02-004-10: BTV Observatory Visual Behavior,1805,2/3/2020,2/7/2020,Reverse (9pm to 9am),Yes,NeuropixelVisualBehaviorDevelopment,Brain Observatory Visual Behavior Neuropixel,Sst-IRES-Cre;Ai32,509811,Sst-IRES-Cre;Ai32-509811,02-004-136-1805,Male,12/14/2019,SWS 2,26.3,29.5,1.5,15,1.25,Neuropixel-style headframe (0160-100-10/0160-200-36),Left,4.048,Select if applicable...,2.8/,1.3,5mm,Yes,Select...,,,Select...,,,,Select...,,,,Select...,,,,Select...,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Complete,Mild,None,Central,None,Mild,Mild,Select...,Select...,Select...,Select...,Select...,Select...,,Select...,,,Select...,Select...,Select...,Select...,Select...,,,,2/10/2020,,,,,,,,,,,,"​minor amt of sinus in window. vein dmg at 3 o'clock left blood under coverslip in top R corner. Also, mild pia dmg 7 o'clock.",Item,BrainScience/IVS/Neurosurgery-Behavior/Lists/SWR 2018Present
,2120,509812HP+C Neuropixel style,Conor Grasso,2/4/2020,Josh Siegle,Severine,HP+C Neuropixel style,Ready for Feedback,102-02-004-10: BTV Observatory Visual Behavior,1805,2/3/2020,2/7/2020,Reverse (9pm to 9am),Yes,NeuropixelVisualBehaviorDevelopment,Brain Observatory Visual Behavior Neuropixel,Sst-IRES-Cre;Ai32,509812,Sst-IRES-Cre;Ai32-509812,02-004-137-1805,Female,12/14/2019,SWS 5,18.7,21,2,15,1.5,Neuropixel-style headframe (0160-100-10/0160-200-36),Left,4.577,Select if applicable...,2.8/,1.3,5mm,Yes,Select...,,,Select...,,,,Select...,,,,Select...,,,,Select...,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Complete,Mild,Moderate,Central,None,Moderate,None,Select...,Select...,Select...,Select...,Select...,Select...,,Select...,,,Select...,Select...,Select...,Select...,Select...,,,,2/11/2020,,,,,,,,,,,,"Mild sinus bleed, and additional bleeding when trying to remove the gel foam so i listed moderate. Some bleeding from a cortex-dura vessel created a small clot on top of the brain. Hematomas present around the medial and lateral edge of the window​",Item,BrainScience/IVS/Neurosurgery-Behavior/Lists/SWR 2018Present
,2135,509940HP+C Neuropixel style,Emily Gelfand,2/11/2020,Josh Siegle,Severine,HP+C Neuropixel style,Ready for Feedback,102-02-004-10: BTV Observatory Visual Behavior,1805,2/10/2020,2/14/2020,Reverse (9pm to 9am),Yes,NeuropixelVisualBehaviorDevelopment,Brain Observatory Visual Behavior Neuropixel,Vip-IRES-Cre;Ai32,509940,Vip-IRES-Cre;Ai32-509940,04-006-18-1703,Female,8/20/2019,SWS 2,25.8,28.6,1.5,15,1.25,Neuropixel-style headframe (0160-100-10/0160-200-36),Left,4.462,Select if applicable...,2.8,1.3,5mm,Yes,Select...,,,Select...,,,,Select...,,,,Select...,,,,Select...,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Partial,Mild,Severe,Central,None,None,Mild,Select...,Select...,Select...,Select...,Select...,Select...,,Select...,,,Select...,Select...,Select...,Select...,Select...,,,,2/18/2020,,,,,,,,,,,,"Full right sinus in window with some lower sinus visible as well. Due to severe sinus bleed from right sinus and moderate sinus bleed from lower sinus, performed hail mary and didn't remove all of dura from R.S. for fear of mouse health. Also, some metabond extends further near right eye due to small cut near eye area that was both vet and metabonded.",Item,BrainScience/IVS/Neurosurgery-Behavior/Lists/SWR 2018Present
,2136,510277HP+C Neuropixel style,Conor Grasso,2/13/2020,Josh Siegle,Severine,HP+C Neuropixel style,Ready for Feedback,102-02-004-10: BTV Observatory Visual Behavior,1805,2/10/2020,2/14/2020,Reverse (9pm to 9am),Yes,NeuropixelVisualBehaviorDevelopment,Brain Observatory Visual Behavior Neuropixel,C57Bl6J (VB),510277,C57Bl6J (VB)-510277,02-004-142-1805,Male,12/19/2019,SWS 5,25.4,27.4,2.3,25,1.5,Neuropixel-style headframe (0160-100-10/0160-200-36),Left,4.419,Select if applicable...,2.8,1.3,5mm,Yes,Select...,,,Select...,,,,Select...,,,,Select...,,,,Select...,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Complete,Mild,Severe,Central,None,Mild,None,Select...,Select...,Select...,Select...,Select...,Select...,,Select...,,,Select...,Select...,Select...,Select...,Select...,,,,2/20/2020,,,,,,,,,,,,"Heavy sinus bleed that took a while to stop. Had to use a hail mary technique to remove the last of the gel foam. Continued to bleed through under the coverslip, so be careful removing it again. Very little damage to the brain occured though, A couple spots had a small attachment of dura to the cortex so i left tiny pieces that are invisable with the coverslip down. Small hematoma at 7oClock that should reabsorb.​",Item,BrainScience/IVS/Neurosurgery-Behavior/Lists/SWR 2018Present
,2138,510589HP+C Neuropixel style,Jackie Swapp,2/13/2020,Josh Siegle,Severine,HP+C Neuropixel style,Ready for Feedback,102-02-004-10: BTV Observatory Visual Behavior,1805,2/10/2020,2/14/2020,Reverse (9pm to 9am),Yes,NeuropixelVisualBehaviorDevelopment,Brain Observatory Visual Behavior Neuropixel,Vip-IRES-Cre;Ai32,510589,Vip-IRES-Cre;Ai32-510589,02-004-143-1805,Male,12/21/2020,SWS 1,24.2,27.2,1.75,10,1.5,Neuropixel-style headframe (0160-100-10/0160-200-36),Left,4.24,Select if applicable...,2.8,1.3,5mm,Yes,Select...,,,Select...,,,,Select...,,,,Select...,,,,Select...,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Complete,None,None,Central,None,Mild,Mild,Select...,Select...,Select...,Select...,Select...,Select...,,Select...,,,Select...,Select...,Select...,Select...,Select...,,,,2/20/2020,,,,,,,,,,,,"​mild hematoma along left edge, mild damage around 3 oclock, vessel was attached to dura",Item,BrainScience/IVS/Neurosurgery-Behavior/Lists/SWR 2018Present
"​standard neuropixels prep
",2151,510278HP+C Neuropixel style,Kat North,2/10/2020,Sam Gale,Sam Gale,HP+C Neuropixel style,Ready for Feedback,102-02-004-10: BTV Observatory Visual Behavior,1805,2/10/2020,2/14/2020,Reverse (9pm to 9am),Yes,NeuropixelVisualBehaviorDevelopment,Ephys Dev Visual Behavior 2,C57BL6J (NP),510278,C57BL6J,02-004-140-1805,Male,12/19/2019,SWS 1,26.2,29.1,2,10,1.5,Neuropixel-style headframe (0160-100-10/0160-200-36),Left,4.474,Select if applicable...,,,5mm,Yes,Select...,,,Select...,,,,Select...,,,,Select...,,,,Select...,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Complete,None,None,Central,None,None,None,Select...,Select...,Select...,Select...,Select...,Select...,,Select...,,,Select...,Select...,Select...,Select...,Select...,,,,2/17/2020,,,,,,,,,,,,"​Surgery went well
",Item,BrainScience/IVS/Neurosurgery-Behavior/Lists/SWR 2018Present
"​standard neuropixels prep
",2160,510279HP+C Neuropixel style,Josh Wilkes,2/18/2020,Sam Gale,Sam Gale,HP+C Neuropixel style,Ready for Feedback,102-02-004-10: BTV Observatory Visual Behavior,1805,2/17/2020,2/21/2020,Reverse (9pm to 9am),Yes,NeuropixelVisualBehaviorDevelopment,Ephys Dev Visual Behavior 2,C57BL6J (NP),510279,C57BL6J,02-004-145-1805,Male,12/19/2019,SWS 3,24.1,26,3,25,1.5,Neuropixel-style headframe (0160-100-10/0160-200-36),Left,,Select if applicable...,,,5mm,Yes,Select...,,,Select...,,,,Select...,,,,Select...,,,,Select...,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Complete,None,Severe,Central,None,Moderate,None,Select...,Select...,Select...,Select...,Select...,Select...,,Select...,,,Select...,Select...,Select...,Select...,Select...,,,,2/25/2020,,,,,,,,,,,,"​large sinus bleed, damage seen at 9 position from pop may be hematoma with underlying cortex damage.
",Item,BrainScience/IVS/Neurosurgery-Behavior/Lists/SWR 2018Present
,2162,513573HP+C Neuropixel style,Conor Grasso,2/20/2020,Josh Siegle,Severine,HP+C Neuropixel style,Ready for Feedback,102-02-004-10: BTV Observatory Visual Behavior,1805,2/17/2020,2/21/2020,Reverse (9pm to 9am),Yes,NeuropixelVisualBehaviorDevelopment,Brain Observatory Visual Behavior Neuropixel,C57Bl6J (NP),513573,C57Bl6J (NP)-513573,02-004-147-1805,Female,12/19/2019,Select...,20,23,1.5,15,1.5,Neuropixel-style headframe (0160-100-10/0160-200-36),Left,4.49,Select if applicable...,2.8,1.3,5mm,Yes,Select...,,,Select...,,,,Select...,,,,Select...,,,,Select...,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Complete,Moderate,Mild,Central,None,Mild,None,Select...,Select...,Select...,Select...,Select...,Select...,,Select...,,,Select...,Select...,Select...,Select...,Select...,,,,2/27/2020,,,,,,,,,,,,"Hematoma/damage on edge of window at 7oClock, small bleed caused some dura to seal to the cortex. Small bleed from drilling at 12oClock may have produced some damage but i couldn't see any clear damage so it could just be from a vessel. A lot of sinus is in the window. Also window has lots of glare from the kwikcast so the post surgery photo was a bit reflective and difficult to see​",Item,BrainScience/IVS/Neurosurgery-Behavior/Lists/SWR 2018Present
,2163,513574HP+C Neuropixel style,Emily Gelfand,2/19/2020,Josh Siegle,Severine,HP+C Neuropixel style,Ready for Feedback,102-02-004-10: BTV Observatory Visual Behavior,1805,2/17/2020,2/21/2020,Reverse (9pm to 9am),Yes,NeuropixelVisualBehaviorDevelopment,Brain Observatory Visual Behavior Neuropixel,C57Bl6J (NP),513574,C57Bl6J (NP)-513574,02-004-146-1805,Female,12/19/2019,SWS 2,17.4,22.1,1.5,10,1.25,Neuropixel-style headframe (0160-100-10/0160-200-36),Left,3.872,Select if applicable...,2.8,1.3,5mm,Yes,Select...,,,Select...,,,,Select...,,,,Select...,,,,Select...,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Complete,Moderate,Mild,Central,None,Mild,Moderate,Select...,Select...,Select...,Select...,Select...,Select...,,Select...,,,Select...,Select...,Select...,Select...,Select...,,,,2/26/2020,,,,,,,,,,,,​Drill damage 7 o'clock caused severe bleed. Some blood left under coverslip on top left.,Item,BrainScience/IVS/Neurosurgery-Behavior/Lists/SWR 2018Present
,2164,510337HP+C Neuropixel style,Chelsea Nayan,2/17/2020,Josh Siegle,Severine,HP+C Neuropixel style,Ready for Feedback,102-02-004-10: BTV Observatory Visual Behavior,1805,2/17/2020,2/21/2020,Reverse (9pm to 9am),Yes,NeuropixelVisualBehaviorDevelopment,Brain Observatory Visual Behavior Neuropixel,Sst-IRES-Cre;Ai32,510337,Sst-IRES-Cre;Ai32-510337,02-004-144-1805,Male,12/20/2019,SWS 4,22.5,25.5,2.5,10,1.5,Neuropixel-style headframe (0160-100-10/0160-200-36),Left,4.473,Select if applicable...,2.8,1.3,5mm,Yes,Select...,,,Select...,,,,Select...,,,,Select...,,,,Select...,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Complete,Mild,Mild,Central,None,None,None,Select...,Select...,Select...,Select...,Select...,Select...,,Select...,,,Select...,Select...,Select...,Select...,Select...,,,,2/24/2020,,,,,,,,,,,,"​Dura on the edge from 3-7 o'clock due to vessel attachment and sinus. Recovery took a bit longer than expected. 
",Item,BrainScience/IVS/Neurosurgery-Behavior/Lists/SWR 2018Present
,2193,512913HP+C Neuropixel style,Emily Gelfand,2/25/2020,Josh Siegle,Severine Durand,HP+C Neuropixel style,Ready for Feedback,102-02-004-10: BTV Observatory Visual Behavior,1805,2/24/2020,2/28/2020,Reverse (9pm to 9am),Yes,NeuropixelVisualBehaviorDevelopment,Brain Observatory Visual Behavior Neuropixel,Sst-IRES-Cre;Ai32,512913,Sst-IRES-Cre;Ai32-512913,02-004-148-1805,Male,1/4/2020,SWS 2,25.6,28.1,1.5,15,1.25,Neuropixel-style headframe (0160-100-10/0160-200-36),Left,4.434,Select if applicable...,2.8,1.3,5mm,Yes,Select...,,,Select...,,,,Select...,,,,Select...,,,,Select...,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Complete,Mild,Moderate,Central,None,None,None,Select...,Select...,Select...,Select...,Select...,Select...,,Select...,,,Select...,Select...,Select...,Select...,Select...,,,,3/3/2020,,,,,,,,,,,,"​Full sinus (and some cerebellum) in window, so sinus bled during pop. Managed to hail mary without too much bleed.",Item,BrainScience/IVS/Neurosurgery-Behavior/Lists/SWR 2018Present
,2194,513271HP+C Neuropixel style,Jackie Swapp,2/26/2020,Josh Siegle,Severine Durand,HP+C Neuropixel style,Ready for Feedback,102-02-004-10: BTV Observatory Visual Behavior,1805,2/24/2020,2/28/2020,Reverse (9pm to 9am),Yes,NeuropixelVisualBehaviorDevelopment,Brain Observatory Visual Behavior Neuropixel,Vip-IRES-Cre;Ai32,513271,Vip-IRES-Cre;Ai32-513271,02-004-149-1805,Male,1/7/2020,SWS 1,24.4,27.4,1.75,8,1.5,Neuropixel-style headframe (0160-100-10/0160-200-36),Left,4.243,Select if applicable...,2.8,1.3,5mm,Yes,Select...,,,Select...,,,,Select...,,,,Select...,,,,Select...,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Complete,None,Mild,Central,None,None,None,Select...,Select...,Select...,Select...,Select...,Select...,,Select...,,,Select...,Select...,Select...,Select...,Select...,,,,3/4/2020,,,,,,,,,,,,,Item,BrainScience/IVS/Neurosurgery-Behavior/Lists/SWR 2018Present
,2195,513276HP+C Neuropixel style,Josh Wilkes,2/27/2020,Josh Siegle,Severine Durand,HP+C Neuropixel style,Ready for Feedback,102-02-004-10: BTV Observatory Visual Behavior,1805,2/24/2020,2/28/2020,Reverse (9pm to 9am),Yes,NeuropixelVisualBehaviorDevelopment,Brain Observatory Visual Behavior Neuropixel,Vip-IRES-Cre;Ai32,513276,Vip-IRES-Cre;Ai32-513276,02-004-150-1805,Female,1/7/2020,SWS 3,19.5,21.6,3,15,1.5,Neuropixel-style headframe (0160-100-10/0160-200-36),Left,4.48,Select if applicable...,2.8,1.3,5mm,Yes,Select...,,,Select...,,,,Select...,,,,Select...,,,,Select...,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Complete,Mild,None,Central,None,Moderate,None,Select...,Select...,Select...,Select...,Select...,Select...,,Select...,,,Select...,Select...,Select...,Select...,Select...,,,,3/5/2020,,,,,,,,,,,,"​went well, hematoma seen at 9 position that occured after pop
",Item,BrainScience/IVS/Neurosurgery-Behavior/Lists/SWR 2018Present
"​lateral window prep
",2213,512595HP+C Neuropixel style,Kat North,2/27/2020,Sam Gale,Sam Gale,HP+C Neuropixel style,Ready for Feedback,102-02-004-10: BTV Observatory Visual Behavior,1805,2/24/2020,2/28/2020,Reverse (9pm to 9am),Yes,NeuropixelVisualBehaviorDevelopment,Ephys Dev Visual Behavior,C57BL6J (VB),512595,C57BL6J,02-004-151-1805,Male,1/3/2020,SWS 1,23.9,26.7,2,10,1.5,Neuropixel-style headframe (0160-100-10/0160-200-36),Left,4.587,Select if applicable...,,,5mm,Yes,Select...,,,Select...,,,,Select...,,,,Select...,,,,Select...,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Complete,Mild,None,Lateral,None,None,None,Select...,Select...,Select...,Select...,Select...,Select...,,Select...,,,Select...,Select...,Select...,Select...,Select...,,,,3/5/2020,,,,,,,,,,,,"​X: -0.493

Y: -0.483

Roll: 7.3 degrees
",Item,BrainScience/IVS/Neurosurgery-Behavior/Lists/SWR 2018Present
,2245,514936HP+C Neuropixel style,Jackie Swapp,3/5/2020,Josh Siegle,Severine ,HP+C Neuropixel style,Ready for Feedback,102-02-004-10: BTV Observatory Visual Behavior,1805,3/2/2020,3/6/2020,Reverse (9pm to 9am),Yes,NeuropixelVisualBehaviorDevelopment,Brain Observatory Visual Behavior Neuropixel,C57Bl6J (NP),514936,C57Bl6J (NP)-514936,02-004-155-1805,Male,1/19/2020,SWS 1,24.3,26.9,1.75,10,1.5,Neuropixel-style headframe (0160-100-10/0160-200-36),Left,4.706,Select if applicable...,2.8,1.3,5mm,Yes,Select...,,,Select...,,,,Select...,,,,Select...,,,,Select...,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Complete,None,Mild,Central,Mild,None,None,Select...,Select...,Select...,Select...,Select...,Select...,,Select...,,,Select...,Select...,Select...,Select...,Select...,,,,3/12/2020,,,,,,,,,,,,"​Normal coverslip, no NP coverslips available.",Item,BrainScience/IVS/Neurosurgery-Behavior/Lists/SWR 2018Present
,2246,514941HP+C Neuropixel style,Kat North,3/4/2020,Josh Siegle,Severine ,HP+C Neuropixel style,Ready for Feedback,102-02-004-10: BTV Observatory Visual Behavior,1805,3/2/2020,3/6/2020,Reverse (9pm to 9am),Yes,NeuropixelVisualBehaviorDevelopment,Brain Observatory Visual Behavior Neuropixel,C57Bl6J (NP),514941,C57Bl6J (NP)-514941,02-004-153-1805,Female,1/19/2020,SWS 1,16.9,19.4,2,10,1.5,Neuropixel-style headframe (0160-100-10/0160-200-36),Left,4.413,Select if applicable...,2.8,1.3,5mm,Yes,Select...,,,Select...,,,,Select...,,,,Select...,,,,Select...,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Complete,Mild,None,Central,None,Mild,None,Select...,Select...,Select...,Select...,Select...,Select...,,Select...,,,Select...,Select...,Select...,Select...,Select...,,,,3/11/2020,,,,,,,,,,,,,Item,BrainScience/IVS/Neurosurgery-Behavior/Lists/SWR 2018Present
,2248,514938HP+C Neuropixel style,Conor Grasso,3/2/2020,Josh Siegle,Severine ,HP+C Neuropixel style,Ready for Feedback,102-02-004-10: BTV Observatory Visual Behavior,1805,3/2/2020,3/6/2020,Reverse (9pm to 9am),Yes,NeuropixelVisualBehaviorDevelopment,Brain Observatory Visual Behavior Neuropixel,C57Bl6J (NP),514938,C57Bl6J (NP)-514938,02-004-152-1805,Male,1/19/2020,SWS 5,23.2,25.8,1.75,15,1.5,Neuropixel-style headframe (0160-100-10/0160-200-36),Left,4.44,Select if applicable...,2.8,1.3,5mm,Yes,Select...,,,Select...,,,,Select...,,,,Select...,,,,Select...,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Complete,Mild,Mild,Central,None,Mild,None,Select...,Select...,Select...,Select...,Select...,Select...,,Select...,,,Select...,Select...,Select...,Select...,Select...,,,,3/9/2020,,,,,,,,,,,,"Good surgery overall, some mild hematomas on the edges while lowering the coverslip. One clot on the surface of the brain that came from tugging the dura too much, was compressed while lowering the coverslip but should clear up. Concerned about medial edge of the window, where vetbond seeped in further than i would've liked. ​",Item,BrainScience/IVS/Neurosurgery-Behavior/Lists/SWR 2018Present
"​standard neuropixels prep
",2255,512596HP+C Neuropixel style,Kat North,3/5/2020,Sam Gale,Sam Gale,HP+C Neuropixel style,Ready for Feedback,102-02-004-10: BTV Observatory Visual Behavior,1805,3/2/2020,3/6/2020,Reverse (9pm to 9am),Yes,NeuropixelVisualBehaviorDevelopment,Ephys Dev Visual Behavior 2,C57BL6J (VB),512596,C57BL6J,02-004-154-1805,Male,1/3/2020,SWS 1,23.7,26.2,2,10,1.5,Neuropixel-style headframe (0160-100-10/0160-200-36),Left,4.574,Select if applicable...,,,5mm,Yes,Select...,,,Select...,,,,Select...,,,,Select...,,,,Select...,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Complete,Mild,None,Central,None,Mild,None,Select...,Select...,Select...,Select...,Select...,Select...,,Select...,,,Select...,Select...,Select...,Select...,Select...,,,,3/12/2020,,,,,,,,,,,,"​
",Item,BrainScience/IVS/Neurosurgery-Behavior/Lists/SWR 2018Present
"C​OVID, no surgery
",2258,515168HP+C Neuropixel style,,,Josh Siegle,Severine,HP+C Neuropixel style,No Surgery,102-02-004-10: BTV Observatory Visual Behavior,1805,3/9/2020,3/13/2020,Reverse (9pm to 9am),Yes,NeuropixelVisualBehaviorDevelopment,Brain Observatory Visual Behavior Neuropixel,Vip-IRES-Cre;Ai32,515168,Vip-IRES-Cre;Ai32-515168,,Select...,,Select...,,,,,Select...,Neuropixel-style headframe (0160-100-10/0160-200-36),Left,,Select if applicable...,2.8,1.3,5mm,Yes,Select...,,,Select...,,,,Select...,,,,Select...,,,,Select...,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Select...,Select...,Select...,Select...,Select...,Select...,Select...,Select...,Select...,Select...,Select...,Select...,Select...,,Select...,,,Select...,Select...,Select...,Select...,Select...,,,,1/6/1900,,,,,,,,,,,,,Item,BrainScience/IVS/Neurosurgery-Behavior/Lists/SWR 2018Present
"C​OVID, no surgery
",2259,516274HP+C Neuropixel style,,,Josh Siegle,Severine,HP+C Neuropixel style,No Surgery,102-02-004-10: BTV Observatory Visual Behavior,1805,3/9/2020,3/13/2020,Reverse (9pm to 9am),Yes,NeuropixelVisualBehaviorDevelopment,Brain Observatory Visual Behavior Neuropixel,Vip-IRES-Cre;Ai32,516274,Vip-IRES-Cre;Ai32-516274,,Select...,,Select...,,,,,Select...,Neuropixel-style headframe (0160-100-10/0160-200-36),Left,,Select if applicable...,2.8,1.3,5mm,Yes,Select...,,,Select...,,,,Select...,,,,Select...,,,,Select...,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Select...,Select...,Select...,Select...,Select...,Select...,Select...,Select...,Select...,Select...,Select...,Select...,Select...,,Select...,,,Select...,Select...,Select...,Select...,Select...,,,,1/6/1900,,,,,,,,,,,,,Item,BrainScience/IVS/Neurosurgery-Behavior/Lists/SWR 2018Present
"C​OVID, no surgery
",2260,516276HP+C Neuropixel style,,,Josh Siegle,Severine,HP+C Neuropixel style,No Surgery,102-02-004-10: BTV Observatory Visual Behavior,1805,3/9/2020,3/13/2020,Reverse (9pm to 9am),Yes,NeuropixelVisualBehaviorDevelopment,Brain Observatory Visual Behavior Neuropixel,Vip-IRES-Cre;Ai32,516276,Vip-IRES-Cre;Ai32-516276,,Select...,,Select...,,,,,Select...,Neuropixel-style headframe (0160-100-10/0160-200-36),Left,,Select if applicable...,2.8,1.3,5mm,Yes,Select...,,,Select...,,,,Select...,,,,Select...,,,,Select...,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Select...,Select...,Select...,Select...,Select...,Select...,Select...,Select...,Select...,Select...,Select...,Select...,Select...,,Select...,,,Select...,Select...,Select...,Select...,Select...,,,,1/6/1900,,,,,,,,,,,,,Item,BrainScience/IVS/Neurosurgery-Behavior/Lists/SWR 2018Present
